DESGLOSE DE PRESUPUESTO;;;;;TIPO DE CAMBIO:;610;;
N;DESCRIPCCION;CANTIDAD;UNIDAD;PRECIO UNITARIO;TOTAL (COLONES);TOTAL (DOLARES);;
FUNDACIONES;;;;;;;;
RECRECIDO PA-1;;4;un;?79.824,77;;$2.582,99;;
;LASTRE;30;m3;?16.250,00;?487.500,00; $799,18 ;;
;VARILLA #4;68;un;?5.400,00;?367.200,00; $601,97 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;53;sacos;?6.769,91;?358.805,23; $588,21 ;;
7,6 m3 en total;ARENA;3,7;m3;?22.566,37;?84.037,16; $137,77 ;;
;PIEDRA;6,8;m3;?22.566,37;?152.638,93; $250,23 ;;
;FORMALETA;20;un;?6.272,12;?125.442,40; $205,64 ;;
PEDESTAL PD-1;;4;un;?477.919,77;; $14.374,20 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;28;sacos;?6.769,91;?189.557,48; $310,75 ;;
 4 m3 en total;ARENA;2;m3;?22.566,37;?44.230,09; $72,51 ;;
;PIEDRA;3,6;m3;?22.566,37;?80.336,28; $131,70 ;;
;FORMALETA;23;un;?6.272,12;?144.258,76; $236,49 ;;
;VARILLA #6 LONG;30;un;?14.400,00;?432.000,00; $708,20 ;;
;VARILLA #3 AROS Y GANCHOS @15CM;56;un;?3.175,00;?177.800,00; $291,48 ;;
;PERFORACIONES CON EPOXICO ( PARA VARILLA #6 Y 30cm DE PROFUNDIDAD);100;un;?63.000,00;?6.300.000,00; $10.327,87 ;;
;PERNOS DIAMETRO 1,4cm CON ROSCA, TUERCA Y ARANDELA EN 30CM DE LARGO;24;un;?2.170,00;?52.080,00; $85,38 ;;
;PLACA A36 (40X40X0,95CM);4;un;?337.000,00;?1.348.000,00; $2.209,84 ;;
MARCO ESTRUCTURAL EN EJE 2;;;;?724.070,80;; $1.187,00 ;;
;ARRISOTRES W8X21 EN 12m DE LARGO;1;un;?550.000,00; ?550.000,00 ; $901,64 ;;
;LAMINA A36 EN 0.64cm PARA RIGIDIZADORES (1,22 x 2,44);1;UN;?174.070,80; ?174.070,80 ; $285,36 ;;
MURO M-1;;22,3;ml;?216.736,05;; $10.203,01 ;;
;LASTRE;56;m3;?16.250,00;?910.000,00; $1.491,80 ;;
;VARILLA #4 LONG;50;un;?5.400,00;?270.000,00; $442,62 ;;
;VARILLA #3 TRANS;149;un;?3.175,00;?473.075,00; $775,53 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;81;sacos;?6.769,91;?548.362,71; $898,96 ;;
 11.5 m3 en total;ARENA;5,6;m3;?22.566,37;?127.161,49; $208,46 ;;
;PIEDRA;10,2;m3;?22.566,37;?230.966,80; $378,63 ;;
;TUBO DRENAFORT 7,7cm de diametro;8;tubos;?42.057,52;?336.460,16; $551,57 ;"4"" / sebas 3""";
;BLOCK DE MAMPOSTERIA DE 20X20X40;1725;un;?796,46;?1.373.893,50; $2.252,28 ;;
;VARILLA #4 VERT;112;un;?5.400,00;?604.800,00; $991,48 ;;
;VARILLA #3 HOR;114;un;?3.175,00;?361.950,00; $593,36 ;;
;SACO DE CEMENTO PARA PEGA BLOQUES;23;un;?6.000,00;?138.000,00; $226,23 ;;
;ARENA PARA PEGA DE BLOQUES;3;m3;?18.141,59;?54.424,77; $89,22 ;;
;CONCRETO DE RELLENO;16;m3;?3.960,18;?63.362,88; $103,87 ;;
;VARILLAS #4 LONG VIGAS;50;un;?5.400,00;?270.000,00; $442,62 ;;
;VARILLAS #3 TRANS VIGAS;68;un;?3.175,00;?215.900,00; $353,93 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;22;sacos;?6.769,91;?148.938,02; $244,16 ;;
 3.1 m3 en total;ARENA;1,5;m3;?22.566,37;?34.278,32; $56,19 ;;
;PIEDRA;2,8;m3;?22.566,37;?62.260,61; $102,07 ;;
MURO M-2;;22,3;ml;?222.955,30;; $6.425,43 ;;
;VARILLA #5 LONG;16;un;?9.925,01;?158.800,16; $260,33 ;;
;VARILLA #4 LONG;8;un;?5.400,00;?43.200,00; $70,82 ;;
;VARILLA #3 TRANS;28;un;?3.175,00;?88.900,00; $145,74 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;17;sacos;?6.769,91;?115.088,47; $188,67 ;;
 2.4 m3 en total;ARENA;1,2;m3;?22.566,37;?26.538,05; $43,51 ;;
;PIEDRA;2,1;m3;?22.566,37;?48.201,77; $79,02 ;;
;FORMALETA;27;un;?6.272,12;?169.347,24; $277,62 ;;
;TUBO DRENAFORT 7,7cm de diametro;8;tubos;?42.057,52;?336.460,16; $551,57 ;;
;BLOCK DE MAMPOSTERIA DE 20X20X40;1107;un;?796,46;?881.681,22; $1.445,38 ;;
;VARILLA #4 VERT;106;un;?5.400,00;?572.400,00; $938,36 ;;
;VARILLA #3 HOR;73;un;?3.175,00;?231.775,00; $379,96 ;;
;SACO DE CEMENTO PARA PEGA BLOQUES;15;un;?6.000,00;?90.000,00; $147,54 ;;
;ARENA PARA PEGA DE BLOQUES;2;m3;?18.141,59;?36.283,18; $59,48 ;;
;CONCRETO DE RELLENO;10;m3;?3.960,18;?39.601,80; $64,92 ;;
;VARILLAS #4 LONG VIGAS;46;un;?5.400,00;?248.400,00; $407,21 ;;
;VARILLAS #3 TRANS VIGAS;53;un;?3.175,00;?168.275,00; $275,86 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;33;sacos;?6.769,91;?223.407,03; $366,24 ;;
 4.7 m3 en total;ARENA;2,3;m3;?22.566,37;?51.970,35; $85,20 ;;
;PIEDRA;4,2;m3;?22.566,37;?94.395,13; $154,75 ;;
;FORMALETA;47;un;?6.272,12;?294.789,64; $483,26 ;;
MURO M-3;;14;ml;?212.220,29;; $3.699,07 ;;
;VARILLA #4 LONG;33;un;?5.400,00; ?178.200,00 ; $292,13 ;;
;VARILLA #3 TRANS;70;un;?3.175,00; ?222.250,00 ; $364,34 ;;
CONCRETO DE 210 KG/CM2;CEMENTO;35;sacos;?6.769,91; ?236.946,85 ; $388,44 ;;
 5 m3 en total;ARENA;2,5;m3;?22.566,37; ?55.287,61 ; $90,64 ;;
;PIEDRA;4,5;m3;?22.566,37; ?100.420,35 ; $164,62 ;;
